Component,Part Number,Description,Quantity
,PJ289,"INFORMATION, VPEPR",1
,V4DPY,"SERVICE CHARGE, OPERATING SYSTEM, WIN10, 64, ENGLAND/ENGLISH",1
,X278C,"SERVICE CHARGE, OPERATING SYSTEM, DOTNET, INSTALLER",1
,XP9T9,"INFORMATION, BOOT, CONTAINER, GPT",1
,X0601,"INFORMATION, BYPASS, UTILITY PARTITION",1
,KYWGW,"INFORMATION, .NET@V, 46000",1
,HNX8N,"INFORMATION, IE@V, 110000",1
,PY79K,"INFORMATION, .NET@V, 50000",1
,TM318,"INFORMATION, SLP2, ENABLE, WINDOWS",1
,GYG63,"DPK, W10H, HIGH END, EXTENDED MANUFACTURERS, IPPP",1
619-ALHI : Microsoft Office Home and Stud ent 2016 DFO,7M1KY,"SERVICE CHARGE, SOFTWARE, OFFICE, OPK",1
,HR8X9,"INFORMATION, WINRE-ADDR, 3, GB-PTN",1
,5NM85,"SERVICE CHARGE, SOFTWARE, OFC2016, OPK",1
612-BBDR : Dell 1810/1820 Wireless Driver,G5CXH,"SERVICE CHARGE, DRIVER, W/BT, 9377/1820, LKINTL",1
583-BDGK : English Backlit Keyboard,GGVTH,"KEYBOARD, 101, US-INTL, M16NXC-UBS",1
,R9T05,"INFORMATION, KEYBOARD, BLIT, ACROSS LINE OF BUSINESS",1
555-BDBY : 802.11ac 1x1 WiFi and Bluetoot h,V91GK,"CARD (CIRCUIT), WIRELESS, M.2, QCA9377",1
,2KWWH,"LABEL, REGULATORY, WIRELESS, QCA9377, WORLD WIDE, CSMB",1
525-10347 : McAfee(R) Multi Device Securit y 15 month subscription,2KCVH,"INFORMATION, SOFTWARE, COMBUILD, 15M, EMARKET",1
"524-37970 : AP CFI SI Project, N-series bundles Supported",00009,"Information, Generic, Part      Number",1
490-BEDT : Intel(R) UHD Graphics with sha red graphics memory,W21JJ,"INFORMATION, GENERIC, ORIGINAL EQUIPMENT MFGR., TRACKING, PART NUMBER",1
490-BBXW : Optical Drive Not Included,W21JJ,"INFORMATION, GENERIC, ORIGINAL EQUIPMENT MFGR., TRACKING, PART NUMBER",1
"451-BCBS : 42WHr, 3-Cell Battery (Integra ted)",Y3F7Y,"BATTERY, PRIMARY, 42WHR, 3C, LITHIUM, SYMMETRIC MULTIPROCESSING",1
450-AFDU : 45 Watt AC Adapter (India),T8YYD,"ADAPTER, ALTERNATING CURRENT, 45W, LITEON, 3P, 4.5, LOW COST, INDIA",1
450-AALQ : Power Cord (India),K257C,"CORD, POWER, 250V, 2.5A, 1M, C5, INDIA",1
430-XYGT : Cyberlink Power DVD Software N ot Included,W21JJ,"INFORMATION, GENERIC, ORIGINAL EQUIPMENT MFGR., TRACKING, PART NUMBER",1
400-AQUN : 1TB 5400 rpm 2.5" SATA Hard Dr ive,00159,"INFORMATION, 1ST BOOT, HARD DRIVE",1
,2J7C1,"HARD DRIVE, 1TB, 5.4, 2.5, 7, SURFACE MOUNT, SGT-RSWA",1
391-BDJJ : 15.6-inch FHD (1920 x 1080) An ti-glare LED-Backlit Display,XNHVP,"INFORMATION, SWSI, LIQUID CRYSTAL DISPLAY, 15.6, NON-TCH",1
,4561N,"LIQUID CRYSTAL DISPLAY, 15.6FHD, AG, EDP1.2, BOE",1
389-CGBB : Intel(R) Core(TM) i5 Processor  Label,1TXG2,"LABEL, INTEL, CI5, 8, SMALL",1
389-BLNK : Palmrest Label for Non-Touch F HD Screen (English),4Y14K,"LABEL, PALMREST, ENGLAND/ENGLISH, FHD, W/U, G/L15",1
389-BKKG : ENERGY STAR Qualified,9XP3W,"INFORMATION, LABEL, DEO, ENERGY STAR",1
,51H8W,"INSTRUCTION, ORIGINAL DEVELOPMENT MANAGER, PRINT ON DEMAND, LABEL, DEO, ENERGY STAR",1
389-BEJW : India BIS Package Label,52PCW,"LABEL, INTERNATIONAL COLOR CONSORTIUM, CMPL CD CIT, BRIDGE INFORMATION SYSTEMS, PACKAGE, PACKAGING",1
379-BCEU : Integrated Widescreen HD 720P Webcam with Dual Digital Micro phone Array,W21JJ,"INFORMATION, GENERIC, ORIGINAL EQUIPMENT MFGR., TRACKING, PART NUMBER",1
379-BBTK : Stereo speakers professionally  tuned with MaxxAudio(R) Pro,W21JJ,"INFORMATION, GENERIC, ORIGINAL EQUIPMENT MFGR., TRACKING, PART NUMBER",1
379-BBDF : OS Media Kit Not Included,W21JJ,"INFORMATION, GENERIC, ORIGINAL EQUIPMENT MFGR., TRACKING, PART NUMBER",1
370-ACRZ : 8GB (1x8GB) DDR4 at 2400MHz,MKYF9,"DUAL IN-LINE MEMORY MODULE, 8GB, 2400, 1RX8, 8G, DDR4, S",1
346-BCNM : Palmrest without Fingerprint R eader - Platinum Silver,427X9,"ASSEMBLY, PALMREST, SILVER, W/OFP, L15",1
340-BYMQ : Additional Software,V7RG4,"LABEL, REGULATORY, COO, L15INT, 1SP, INDUCTOR, COMPACT DISK DRIVE",1
340-BYLV : Quick Start Guide,YGH55,"PLACEMAT, GETTING STARTED, INSP 5570, A/C",1
340-BJCE : Retail Information,864KE,"INFORMATION, PLACEHOLDER, PIECE-PART",1
,P637H,"INFORMATION, RETAIL, COOPERATIVE COMPUTING INCORPORATION",1
"340-ACBS : Document for MUI (English, Khe mer, Bahasa Indonesia, Arabic,  Spanish)",4N89R,"GUIDE, PRODUCT, MULTIPLE USER INTERFACE, SERI, ASIA PACIFIC CUSTOMER CENTER",1
340-AAPV : Direct Ship Info,4XFT2,"INFORMATION, DIRECT SHIP, COMPAL, CHENGDU",1
340-23774 : ODM CTO Consolidation Sea Ship  Info MOD,HYK76,"INFORMATION, ORIGINAL DEVELOPMENT MANAGER, SEASHIP",1
"338-BNWZ : 8th Generation Intel Core i5-8 250U Processor (6MB Cache, up to 3.4GHz)",360PV,"ASSEMBLY, BASE (ASSEMBLY OR GROUP), I5-8250U, U, 1SP, 5570",1
,47H4C,"ASSEMBLY, TOUCHPAD, LOKI 15/17",1
,6G8MW,"ASSEMBLY, SPEAKER, 2W, 25X14, 1SP, LOKI15",1
,RDX5C,"SERVICE CHARGE, W10, INTEL, PPM",1
328-BCRO : Shipping Material,014N7,"Shipping Material, Pad, Keyboard, LOKI, 15",1
,C1JGF,"SHIPPING MATERIAL, BAG, SYSTEM, 14, 15, YFYJ",1
,TCD3N,"SHIPPING MATERIAL, BOX, ACCESSORY, 15, V/T",1
,FW14J,"SHIPPING MATERIAL, BOX, SYSTEM, 15, V/T",1
,CKGD5,"SHIPPING MATERIAL, CUSHION, MPP, BOTTOM, 15, LOKI",1
,4Y39D,"SHIPPING MATERIAL, CUSHION, MPP, TOP, 15, LOKI",1
320-BCIG : Non-Touch LCD Back Cover - Pla tinum Silver,2THV7,"KIT, COVER, LIQUID CRYSTAL DISPLAY, SERVER, SERVER CHASSIS, New Technology, 1SPW/OTC, L15",1
,DDHWX,"ASSEMBLY, CABLE, EDP, HD-C, New Technology, L15",1
,WNTY0,"ASSEMBLY, CAMERA, 720P, 0.9M, 5SF125N2",1
210-ANCP : Inspiron 15 5000 Series - 5570,DMXX8,"INFORMATION, SWSI, NO BIOS, STANDARD, INSPIRON, 5570",1
,9872G,"LABEL, SVC TAG/EXPRESS CODE, ANW",1
,XPRGW,"INFORMATION, UEFI-CL3",1
,DF3MX,"INFORMATION, 64-BIT, UEFI-MFG, PROCESS",1
